Left Elbow,Right Elbow,Left Knee,Right Knee
57.07269917,52.32559828,83.50883115,78.38456816
54.75552309,60.8608599,51.38585603,72.9864275
63.61796003,65.84190147,40.44016005,56.46364853
64.40259183,58.91940995,32.36736879,46.52999041
61.74395805,52.5012029,40.41305986,88.45392341
66.24809172,51.81897631,49.93848086,94.70017467
18.22604646,13.09784166,53.80518699,79.35985467
96.15215956,82.70413207,54.25714937,61.86085303
112.1408545,110.6720628,82.73209645,64.74425957
110.7814204,115.2397999,75.75525509,63.86563828
106.0397371,107.8961618,63.49761689,56.42633453
103.1932186,103.9555634,45.23848934,51.15743547
58.71947258,60.72951302,41.95617446,45.21495775
36.79713542,62.7678917,53.32560519,59.83121128
16.38283086,60.81587925,57.59413825,50.93928189
11.61890216,51.5398596,60.13033775,66.02595715
7.340108249,60.42393308,69.49065455,53.05665781
6.095695131,52.67199743,68.42726411,58.19864849
8.071348816,64.90232433,58.25673983,59.88129009
41.33582984,80.28930902,88.91571991,68.38302136
44.80460287,37.54589208,82.8748764,63.93970527
57.09827295,10.25132988,77.45144917,56.51450069
118.8970906,69.52823486,70.40066178,59.85054782
97.62028681,61.45490175,53.99148583,50.98773547
51.99147276,81.28411036,60.13360639,38.13986564
32.91785511,62.54920148,78.45788452,64.8241472
30.1581419,29.33230264,83.05014036,68.39555789
44.4197418,9.133477543,69.15563968,77.06944721
42.63230606,5.568342212,64.27517676,66.31779131
31.47961045,5.624879745,55.90983487,76.5198314
17.53598588,3.640667969,82.78085865,78.54697133
13.40957555,6.991058933,87.55689441,79.21762886
36.95305083,125.7227261,75.65301238,77.61106007
56.56123978,129.2277447,81.23403066,75.7038549
10.91405466,16.19157376,81.75260459,74.53511556
19.0995366,17.701136,83.76438671,78.01823151
30.00868565,14.22440334,85.51137143,77.45241766
23.5544027,13.0839685,82.47739774,75.22782113
7.399240029,8.356502184,81.29064247,58.29774681
10.21609131,9.491101679,83.40999685,71.15218823
10.03684179,8.579928704,71.98555472,68.87672847
21.45416232,18.74362063,72.98318669,60.64290436
30.47825052,40.45366359,80.99679184,46.58880151
50.99259393,38.74075261,82.89071457,56.00348581
110.5203916,104.5800925,95.33877732,75.24764954
102.6057627,108.849891,96.15741115,75.60901633
114.4411138,109.5788617,95.86976104,77.32745934
83.19872865,89.06993604,73.06628597,68.70475047
75.52165092,85.53556148,69.93533981,54.55949161
109.0793491,84.83462182,76.70922101,52.06320958
97.19559755,95.59600393,75.86227745,54.31210871
100.759776,114.8858733,72.64904867,50.16601918
107.8587876,121.1640926,68.52643922,51.6841531
88.55479802,103.1930238,66.92860099,53.04841788
98.62356458,91.61251124,65.75651248,54.38139059
97.88138419,88.36677044,66.88748338,55.78306508
76.26555032,98.45700651,71.27219607,51.04734606
76.23328187,91.43008162,78.34046638,52.51999981
81.99770895,99.82876925,84.03076036,74.3207898
79.43347628,101.1796728,84.51121004,70.34617024
49.24505618,62.73360735,83.03026885,72.12288254
36.09905519,26.00081079,69.10320165,73.76171545
12.30739398,18.39836751,62.13428144,61.98900808
21.49918259,16.07015377,60.48347199,68.95513853
32.05971533,19.68443527,63.46916034,56.3600159
22.44604456,13.93871865,64.06792222,50.55074861
14.72060215,21.30919302,64.84355306,50.45131574
31.7666383,31.91367896,62.67001421,52.59204469
23.44130713,36.15752925,65.40887724,60.19895085
43.73029546,34.3383828,95.41968981,137.4628795
56.9607138,52.45402201,107.6946555,156.4653388
59.14418014,120.9940028,105.3712882,164.7315934
78.78301313,96.28601197,95.49272737,148.0675268
97.09077637,87.22265054,80.19811349,153.7430243
95.08367009,33.64779376,90.5450448,168.645917
21.66176682,20.89708862,122.0336838,164.3861509
17.19984541,23.26158557,120.6983301,109.8869524
28.31816999,22.52490044,95.59501292,80.63339965
12.96242626,27.12609973,83.54056076,56.83205195
14.42927147,33.59699939,80.65568391,78.0590907
19.41419955,56.17730807,76.46469382,67.84073197
23.26082143,72.07365806,67.11265305,57.66884901
19.29959755,82.90376209,71.54234101,57.05244124
39.5040724,54.99551733,102.4795934,50.37089105
31.50576816,59.12220819,141.0587197,73.31385343
85.59272137,39.31559746,145.9561852,94.92224456
114.6665359,29.79516072,156.3559632,106.6719802
121.4313074,55.97050313,157.8128412,104.8444516
102.1456042,65.32313515,157.8977791,104.5144839
19.78652502,40.56309004,153.1239874,109.9716137
21.35793799,31.58289027,149.1586413,110.7046379
20.40243853,26.82462177,124.4516666,96.81994796
27.27084185,36.09373325,82.67394247,80.33412029
61.06703954,26.19967047,62.90048549,56.80880398
84.79893673,19.36799524,51.39967522,58.24173288
89.48061081,14.07664604,49.42134128,55.82130384
93.97629929,21.24558289,46.3384933,49.43001881
79.1011149,31.92823568,47.41961907,62.28808146
62.21064863,35.36109846,71.7736825,139.3240225
77.32731446,38.42689676,107.6122526,152.1713817
79.59853724,36.05789766,109.4165117,156.3148587
85.98434916,28.09779389,107.7776116,156.2566078
86.98824154,26.74291249,124.7120555,156.3775923
83.55397385,27.12462526,105.7993695,155.5576885
79.16277387,20.34186519,68.75539024,149.9811489
84.47635805,22.27346519,37.15382327,112.7842567
104.9598713,15.7438067,43.51009473,97.49588151
91.67722628,18.13830096,46.94880978,54.93308456
85.09403872,18.42650597,40.17514887,57.04277463
83.12015765,19.43323186,49.04287868,54.4418537
65.38078784,19.90628153,39.38519742,49.6418027
67.90454857,20.80943897,35.16148603,50.77781436
68.32732179,32.06820674,33.743843,72.60145807
58.36643421,35.53093642,106.7344282,144.9354075
58.01339353,41.33360563,121.4220634,155.1669361
81.59693889,92.16940055,109.9926362,158.5210669
97.76451099,123.3391675,98.89955173,161.9098729
99.38246786,122.379079,99.07731363,163.5164039
130.3482043,119.0854439,96.42033063,160.2304662
67.41158361,80.72662793,125.9858559,158.4756366
58.20141419,40.06163717,113.1386375,134.9985601
62.19509197,34.39423608,71.25463026,83.40552957
55.43599477,20.58540476,56.45212297,76.80181768
29.46572208,21.23696905,55.51942555,77.72423294
27.52934538,36.25791791,81.91368526,75.25357025
35.13713047,38.92040235,74.6897598,70.81775272
34.35063045,56.05318226,72.78909337,68.5051641
44.3947653,63.54527143,108.8087445,66.93234053
33.76211801,62.16219887,143.5411855,78.20865165
41.30249225,60.37801452,154.2976011,125.1812057
45.09199778,32.07426525,159.1359563,127.5787335
122.385721,50.45364019,160.6742455,112.3698013
122.7959211,84.66168383,160.6618642,109.4689109
111.0640435,56.88399051,156.6520895,114.224648
56.22142189,34.89794191,152.6839606,107.7540708
46.93678445,24.65876501,135.8971294,106.8368328
45.90878328,17.65695463,93.90212406,89.58616216
49.44963456,15.98335742,79.51835347,77.13318904
68.52217489,12.7501597,76.64692776,70.09974669
73.01667724,21.13698176,80.96323001,60.71301184
52.80071126,24.70933007,75.13450687,52.09261457
64.05190733,19.5341323,64.07162987,39.2215919
66.28624215,21.52111456,72.80901442,46.36752991
54.98322543,87.11955553,127.8722892,143.7777765
51.65063823,132.6016374,135.3432759,152.1506152
59.00013888,141.306211,130.9195081,160.6507244
130.7912848,120.6271005,106.435317,162.2270237
98.89325219,45.50975839,97.88634393,162.4180561
57.8765867,61.74483028,95.49030226,161.6096091
56.75627615,45.39803927,87.25487678,135.4607629
82.13461976,66.47192385,81.36911192,110.4491413
90.51660802,87.96481047,46.49138889,64.72532723
73.92287361,98.29730198,49.45371862,63.97058711
30.86546004,97.5003179,64.727846,60.98201933
39.49173107,85.243646,68.52058782,63.12977709
42.21692846,88.32746386,68.69450343,63.01227597
42.47209951,87.52119628,86.08642501,52.84483274
36.00963708,72.13009915,122.1230037,58.8573933
26.60132173,45.4304623,131.8067227,66.94153408
34.5992207,62.85315887,134.3737819,73.21084876
42.75225874,63.79316477,135.7076049,79.79994175
36.18253794,52.2575873,131.3860396,65.85538932
16.45092772,56.8818844,110.3674962,51.09195914
23.64050098,52.09147398,90.30336363,42.79810399
35.97739256,54.82407408,84.03797397,43.38481797
92.40660913,58.26372717,66.63044406,43.06448011
55.95285746,58.1230022,56.84411457,41.96301818
33.96214373,51.08098753,41.75589717,43.86439997
29.71810786,57.00855167,42.74896645,44.69341091
32.04243492,63.3040348,56.83467638,52.98454527
29.52460343,74.35563914,59.81004694,52.79293086
24.73267144,63.74573658,115.8457784,53.50088435
24.69583651,58.46913146,117.2796685,56.33041407
52.75584392,44.61817156,132.2609236,73.92026987
33.65640921,50.58224238,138.5299426,77.99844546
38.69484322,59.5538847,141.9605474,92.40843159
45.40228227,71.63191173,131.1018919,98.26220889
33.90852775,71.93285823,137.3096558,101.0631076
34.74573562,51.05558343,67.23349937,63.77507345
34.71409093,116.2353229,70.63876956,49.4590134
28.51915918,76.9223859,80.62406406,59.83967235
30.73105545,84.5857037,80.42944883,69.13015928
19.02430548,95.38226474,83.99931243,65.51358299
19.60477925,69.38625049,76.05064425,54.53756702
34.18768107,68.83180917,62.03145698,49.48983546
9.926736599,61.7838348,84.08645716,101.5072369
36.47844756,45.38960656,87.52645942,94.06926387
25.31257318,53.80855583,92.84597572,70.09351306
